t;framecounter;lat;long;height;GPS_satellites;temp;voltage;temp_int;pressure;humidity_rel;RSSI;CRC;r;v_z;wind;wind_direction;wind_direction_deg;vapor_pressure;dew_point
373,0;130,0;1,2098622320719485;0,27983994067728923;1,506;13,0;-1,5818028432394726;3,96;29,25757050926711;81,496;72,46;-66,0;3,0;3,054045468217163;6,5;25,694579530213474;-1,7196761262227045;-98,5301841619676;0,38847109744551084;-5,397947722424728
377,0;131,0;1,2098659606188296;0,27985415533684915;1,5305;13,0;-1,7082130432000326;3,96;29,25757050926711;81,24411;72,65;-71,0;3,0;3,0880693727598554;6,125;23,369396637236818;-1,8273202842208327;-104,69774010449976;0,38540814891056296;-5,490397234510624
381,0;132,0;1,209869422653934;0,27987243120304556;1,5565;13,0;-1,8583706625052514;3,96;29,25757050926711;80,93997999999999;73,05;-71,0;3,0;3,1222393645077586;6,5;29,579964627932636;-1,7580100710161526;-100,72655741071968;0,38270602945993604;-5,572515554220687
385,0;133,0;1,2098719526832176;0,2798850811749311;1,5825;13,0;-2,019791297785048;3,96;29,25757050926711;80,70709;73,29;-73,0;3,0;3,1509137272846974;6,5;20,515034167854758;-1,7681945399270191;-101,31008449589453;0,37882162555083265;-5,69149816341826
389,0;134,0;1,2098762137300534;0,2799026247009733;1,6065;13,0;-2,1861208494094626;3,96;29,25757050926711;80,44666000000001;73,63;-65,0;3,0;3,1892354977971156;6,0;28,709842079592292;-1,809066718332987;-103,65188781806222;0,3753222972121477;-5,799645235362531
393,0;135,0;1,2098780779162275;0,2799155743458915;1,635;13,0;-2,411161107603334;3,96;29,25757050926711;80,14136;73,84;-66,0;3,0;3,21621413436914;7,125;20,805649455307634;-1,7137706317501307;-98,19182425275129;0,3693657968140163;-5,985871357117126
397,0;136,0;1,2098836706492826;0,2799311538529265;1,6575;13,0;-2,616319919757359;3,96;29,25757050926711;79,88428;74,73;-71,0;3,0;3,2613646776288236;5,625;26,3236397746755;-1,9154487315865885;-109,74712819359837;0,36744003823582655;-6,046667029302335
401,0;137,0;1,2098859343413224;0,2799459011869741;1,684;13,0;-2,743337203701344;3,96;29,25757050926711;79,59416999999999;74,93;-65,0;3,0;3,2905201646467703;6,625;23,727022580369926;-1,7231059148280674;-98,72669657367696;0,36451425457302294;-6,139593530197301
405,0;138,0;1,2098899290509142;0,2799592501632251;1,7045;13,0;-3,0070036733811207;3,96;29,25757050926711;79,32347999999999;75,41;-67,0;3,0;3,325975134997595;5,125;22,15878815421748;-1,8615668619130177;-106,65992446902882;0,3588037218044805;-6,322950286891947
409,0;139,0;1,2098936574232624;0,27997180047681036;1,735;13,0;-3,339773072562707;3,96;29,25757050926711;79,04622;75,79;-65,0;3,0;3,3650780751934355;7,625;20,82071722201254;-1,8595665964055204;-106,54531769754364;0,3506371148164459;-6,589863500925282
413,0;140,0;1,2098977853014763;0,27998035573173774;1,755;13,0;-3,5087810045815786;3,96;29,25757050926711;78,80734;75,91;-68,0;3,0;3,4000123187059077;5,0;15,106270730964903;-2,020343117585967;-115,75713380597892;0,3462153279680307;-6,736766484039827
417,0;141,0;1,2099023126855561;0,27999017617583993;1,785;13,0;-3,6170008563074134;3,96;29,25757050926711;78,58661000000001;76,34;-69,0;3,0;3,4426765696366495;7,5;17,197211086619703;-2,0027734911310944;-114,75046836249332;0,345005618813642;-6,777255234234821
421,0;142,0;1,209908038587233;0,27999610174318335;1,8085;13,0;;;;;;-68,0;1,0;3,487355495772277;5,875;13,104203363148674;-2,339059644356719;-134,0182456510113;;
425,0;143,0;1,209910302279273;0,2800060220201188;1,834;13,0;-3,8207399448033357;3,96;29,25757050926711;78,07842;77,06;-77,0;3,0;3,515730492953168;6,375;16,181881646924992;-1,7951434462738187;-102,85414309205946;0,34230558898257446;-6,868095482853974
429,0;144,0;1,2099134979771333;0,28001078240565364;1,851;13,0;-3,9219746169919745;3,96;29,25757050926711;77,86482000000001;77,48;-69,0;3,0;3,5431703059185407;4,25;9,118192028084149;-2,162007159436861;-123,87388551279982;0,3412315364053921;-6,9044135254069525
433,0;145,0;;;;;-4,0702321863223005;3,96;29,25757050926711;77,63008;77,8;-70,0;2,0;;;;;;0,33835933057251355;-7,002050893626797
437,0;146,0;1,2099205553904966;0,2800257294053677;1,9075;13,0;-4,237017183359171;3,96;29,25757050926711;77,35797;78,45;-67,0;3,0;3,6151858132943855;;;;;0,3363882358416236;-7,069495943586702
441,0;147,0;1,2099224195766707;0,2800313886354673;1,933;13,0;-4,405445685076359;3,96;29,25757050926711;77,13453;78,44;-68,0;3,0;3,640400197303396;6,375;9,475814189935045;-1,8890084173261485;-108,2322097774756;0,33156317641993216;-7,23613439823409
445,0;148,0;1,2099258817863079;0,28004164174669105;1,959;12,0;-4,53986680027208;3,96;29,25757050926711;76,90798;78,94;-74,0;3,0;3,676026766090564;6,5;17,210533517186846;-1,8964484296744233;-108,65849108455697;0,32988057126246656;-7,294767284830584
449,0;149,0;1,2099265474548844;0,28004876583163185;1,974;13,0;-4,651817633903079;3,96;29,25757050926711;76,70298;79,28;-76,0;3,0;3,690018949858725;3,75;11,379133869061144;-1,6639649761359758;-95,33817039017816;0,32815647706153983;-7,355130594793318
